harv_agg,species,inside_slash,year,n,avg_ht,sd_ht,avg_basal,sd_basal,avg_ht_cm,sd_ht_cm,avg_basal_sqm,sd_basal_sqm,avg_grdCov,sd_grdCov,avg_subCov,sd_subCov,avg_canCov,sd_canCov
sta_rd,rm,no,2018,11,3.5,0.51234753829798,97.27272727272727,18.488325554743508,8.89,1.301362747276869,9.036932072727273,1.7176216485453588,29.09090909090909,8.312094145936335,0,0,25.454545454545453,9.341987329938275
sta_rd,rm,no,2019,11,4.386363636363637,0.777525211517578,97.27272727272727,18.488325554743508,11.141363636363636,1.974914037254648,9.036932072727273,1.7176216485453588,29.09090909090909,8.312094145936335,0,0,25.454545454545453,9.341987329938275
sta_rd,rm,no,2020,8,4.6875,0.8425090080061035,96.25,19.95530720671285,11.90625,2.139972880335503,8.9419176,1.8539087036375326,26.25,7.44023809142845,0,0,22.5,7.0710678118654755
sta_rd,rm,yes,2018,26,6.865384615384615,2.101464690675017,30,0,17.438076923076924,5.337720314314543,2.7870912000000003,0,41.34615384615385,15.719904090527544,0,0,15.576923076923077,12.595786841394473
sta_rd,rm,yes,2019,26,10.759615384615385,3.9334976606264616,30,0,27.329423076923078,9.991084057991213,2.7870912000000003,0,41.34615384615385,15.719904090527544,0,0,15.576923076923077,12.595786841394473
sta_rd,rm,yes,2020,19,11.789473684210526,4.802533444483246,30,0,29.945263157894736,12.198434948987448,2.7870912000000003,0,42.63157894736842,16.530142589678036,0,0,15.526315789473685,12.681431837544702
sta_rd,sb,no,2018,45,8.044444444444444,3.6642812488545515,23.11111111111111,24.104151115733178,20.43288888888889,9.30727437209056,2.14709248,2.2393489152710044,65.33333333333333,20.626549528569857,0,0,17.555555555555557,18.848143814511953
sta_rd,sb,no,2019,39,19.384615384615383,9.633044511404712,24.102564102564102,25.31048760348259,49.23692307692308,24.46793305896797,2.239201476923077,2.3514212422458476,64.61538461538461,21.745677591814093,0,0,18.71794871794872,19.2188897181211
sta_rd,sb,no,2020,35,34.2,16.57212400743028,19.428571428571427,10.831016774511426,86.86800000000001,42.093194978872916,1.8049733485714288,1.006234384643106,65.71428571428571,20.903941970737634,0,0,22.571428571428573,18.525476439512275
sta_rd,sb,yes,2018,54,9.49074074074074,2.6793950682040943,37.96296296296296,13.788103927775229,24.10648148148148,6.805663473238399,3.526874666666667,1.2809567707262592,68.98148148148148,14.121428572690968,0.7407407407407407,1.7929125159937358,30.27777777777778,32.40976830773411
sta_rd,sb,yes,2019,45,22.71,8.564949715927328,42.44444444444444,9.08434106169801,57.6834,21.75497227845542,3.9432179200000004,0.8439629010285727,72.33333333333333,12.774263899803314,0.8888888888888888,1.9332288373014037,36.22222222222222,32.37134597763955
sta_rd,sb,yes,2020,48,30.65625,11.115044553465898,38.125,12.99038105676658,77.86687500000001,28.23221316580338,3.5419284,1.2068458909320279,69.27083333333333,14.29140432528072,0.8333333333333334,1.8831089428867736,29.0625,32.16738552461735
red_pine,co,no,2018,27,5.7407407407407405,1.9519239540789293,26.296296296296298,4.921028776234113,14.581481481481482,4.957886843360481,2.4430058666666667,0.45717853323962904,16.666666666666668,2.401922307076307,0,0,48.51851851851852,20.700000688164927
red_pine,co,no,2019,27,10.518518518518519,4.243731760992825,26.296296296296298,4.921028776234113,26.717037037037038,10.779078672921774,2.4430058666666667,0.45717853323962904,16.666666666666668,2.401922307076307,0,0,48.51851851851852,20.700000688164927
red_pine,co,no,2020,24,12.791666666666666,6.016131695675399,26.666666666666668,4.815434123430768,32.490833333333335,15.280974507015511,2.4774144000000002,0.4473684689864537,16.666666666666668,2.407717061715384,0,0,46.666666666666664,20.989990713312086
red_pine,co,yes,2018,23,7.760869565217392,2.9843134021435214,16.08695652173913,4.990108793478454,19.712608695652175,7.5801560414445435,1.4945271652173913,0.46359627684488053,16.08695652173913,6.388292156738129,0,0,13.91304347826087,9.409439377939295
red_pine,co,yes,2019,23,13.880434782608695,5.241806141069446,16.08695652173913,4.990108793478454,35.25630434782609,13.314187598316392,1.4945271652173913,0.46359627684488053,16.08695652173913,6.388292156738129,0,0,13.91304347826087,9.409439377939295
red_pine,co,yes,2020,23,18.304347826086957,6.072926377176715,16.08695652173913,4.990108793478454,46.49304347826087,15.425232998028855,1.4945271652173913,0.46359627684488053,16.08695652173913,6.388292156738129,0,0,13.91304347826087,9.409439377939295
red_pine,rm,no,2018,24,8.979166666666666,4.867213216282355,9.583333333333334,11.601786469133204,22.807083333333335,12.36272156935718,0.8903208,1.077841232413341,69.375,20.23301757029831,0,0,2.0833333333333335,5.694518086009039
red_pine,rm,no,2019,22,15.068181818181818,9.31626260459359,10,11.952286093343936,38.27318181818182,23.663307015667716,0.9290304,1.1104037130213755,69.0909090909091,21.023590130882546,0,0,2.272727272727273,5.921565254637921
red_pine,rm,no,2020,24,22.729166666666668,13.795855684152796,9.166666666666666,11.764599317505432,57.732083333333335,35.0414734377481,0.8516112000000001,1.09296704097818,71.25,19.46289669669155,0,0,1.4583333333333333,4.99546896146173
red_pine,rm,yes,2018,32,7.2421875,2.3456242505994007,13.4375,4.825587044348143,18.39515625,5.957885596522478,1.2483846,0.4483117062045573,42.5,25.463446286278565,3.125,8.400268812903088,10.9375,8.929608234732722
red_pine,rm,yes,2019,31,12.879032258064516,5.712147497417942,13.548387096774194,4.863734571139201,32.71274193548387,14.508854643441573,1.258686348387097,0.45185572741192803,40.806451612903224,23.982520516463246,2.4193548387096775,7.513428837969107,11.129032258064516,9.010149593593034
red_pine,rm,yes,2020,31,17.35483870967742,8.74947003003334,13.548387096774194,4.863734571139201,44.08129032258064,22.223653876284683,1.258686348387097,0.45185572741192803,42.903225806451616,25.780295884919134,3.225806451612903,8.519427513705972,11.290322580645162,8.847574237748622
